AÑO;MES;ESTACION_DE_MEDICION;CCAA;PROVINCIA;PRECIPITACION_ACUMULADA;INTENSIDAD_MAXIMA_PRECIPITACION
2015;10;CABO BUSTO;Principado de Asturias;Asturias;85,2;144
2015;10;CABO DE GATA, FARO;Andalucía;Almería;31,2;120
2015;10;CABO PEÑAS;Principado de Asturias;Asturias;100,0;132
2015;10;CABO VILAN;Galicia;A Coruña;95,0;222
2015;10;CABRERA, PARQUE NACIONAL DE CABRERA;Illes Balears;Illes Balears;61,2;522
2015;10;CALA;Andalucía;Huelva;159,4;360
2015;10;CALAMOCHA;Aragón;Teruel;27,4;168
2015;10;CALANDA;Aragón;Teruel;3,0;12
2015;10;CALASPARRA;Región de Murcia;Murcia;65,8;696
2015;10;CALATAYUD, DEPÓSITO;Aragón;Zaragoza;20,6;108
2015;10;CALDES DE MONTBUI;Cataluña;Barcelona;49,7;768
2015;10;CAMPDEVANOL;Cataluña;Girona;90,1;846
2015;10;CAMPEZO/KANPEZU;País Vasco;Araba/Álava;34,5;168
2015;10;CAMPORREDONDO DE ALBA, CUEVA DORADA;Castilla y León;Palencia;159,6;132
2015;10;CAMPOS-CAN SION;Illes Balears;Illes Balears;24,8;144
2015;10;CAMPOS-SALINES  LEVANT;Illes Balears;Illes Balears;26,6;192
2015;10;CAMUÑO;Principado de Asturias;Asturias;122,2;108
2015;10;CANDELARIA-DEPOSITO CUEVECITAS;Canarias;Santa Cruz de Tenerife;58,6;612
2015;10;CANDELEDA (AUTOMATICA);Castilla y León;Ávila;210,6;552
2015;10;CANFRANC;Aragón;Huesca;135,4;300
2015;10;CAPDEPERA-FARO;Illes Balears;Illes Balears;16,5;192
2015;10;CAPELLA, LAGUARRES;Aragón;Huesca;42,8;384
2015;10;CARAVACA (LOS ROYOS- AUT.);Región de Murcia;Murcia;24,6;204
2015;10;CARAVACA,FUENTES DEL MARQUÉS;Región de Murcia;Murcia;31,8;468
2015;10;CARBALLO;Galicia;A Coruña;145,8;216
2015;10;CARBONERAS,C.TÉRM.;Andalucía;Almería;8,6;144
2015;10;CARCAIXENT;Comunitat Valenciana;Valencia/València;71,2;312
2015;10;CARDEÑA (SANTA ELENA - AUTOMATICA);Andalucía;Córdoba;101,6;612
2015;10;CARMONA, VILLEGAS;Andalucía;Sevilla;84,2;216
2015;10;CARREÑA DE CABRALES;Principado de Asturias;Asturias;90,3;108
2015;10;CARRION DE LOS CESPEDES;Andalucía;Sevilla;149,5;564
2015;10;CARRIÓN DE LOS CONDES;Castilla y León;Palencia;74,2;324
2015;10;CARTAGENA;Región de Murcia;Murcia;24,2;126
2015;10;CARTAYA , PEMARES;Andalucía;Huelva;132,0;588
2015;10;CASAS DO PORTO;Galicia;A Coruña;389,1;492
2015;10;CASPE, COMARCAL;Aragón;Zaragoza;8,6;120
2015;10;CASTEJÓN DE VALDEJASA, DEPÓSITO;Aragón;Zaragoza;18,8;72
2015;10;CASTELL DARO;Cataluña;Girona;17,8;72
2015;10;CASTELL DEL FERRO;Andalucía;Granada;141,0;1872
2015;10;CASTELLFORT;Comunitat Valenciana;Castellón/Castelló;38,4;204
2015;10;CASTELLO DEMPURIES;Cataluña;Girona;16,8;312
2015;10;CASTELLOTE, DEPÓSITO;Aragón;Teruel;8,6;48
2015;10;CASTELLÓN-ALMASSORA;Comunitat Valenciana;Castellón/Castelló;23,6;84
2015;10;CASTILLO BAYUELA;Castilla - La Mancha;Toledo;95,4;516
2015;10;CASTRO URDIALES-EDAR;Cantabria;Cantabria;108,0;672
2015;10;CASTROPOL;Principado de Asturias;Asturias;101,7;156
2015;10;CASTUERA-COOPERATIVA;Extremadura;Badajoz;49,6;84
2015;10;CAZALLA DE LA SIERRA;Andalucía;Sevilla;126,1;456
2015;10;CAZORLA (AUTOMATICA);Andalucía;Jaén;47,1;204
2015;10;CAZORLA I;Andalucía;Jaén;48,2;204
2015;10;CAÑADAS PARADOR;Canarias;Santa Cruz de Tenerife;115,6;468
2015;10;CAÑAMERO, EL PINAR;Extremadura;Cáceres;161,6;396
2015;10;CAÑAVERAL;Extremadura;Cáceres;115,4;372
2015;10;CAÑIZARES;Castilla - La Mancha;Cuenca;29,3;192
2015;10;CEBREROS;Castilla y León;Ávila;85,2;144
2015;10;CEDRILLAS, ANTENAS;Aragón;Teruel;25,4;144
2015;10;CENICERO;La Rioja;La Rioja;74,4;864
2015;10;CERVANTES-BAZAL;Galicia;Lugo;171,8;144
2015;10;CERVERA DE PISUERGA;Castilla y León;Palencia;141,6;156
2015;10;CEUTA;Ceuta;Ceuta;101,2;696
2015;10;CHANDREXA DE QUEIXA;Galicia;Ourense;125,2;156
2015;10;CHARILLA;Andalucía;Jaén;54,2;360
2015;10;CHELVA;Comunitat Valenciana;Valencia/València;22,4;252
2015;10;CHIPIONA, ECA;Andalucía;Cádiz;81,2;264
2015;10;CIEZA, PARQUE DE BOMBEROS;Región de Murcia;Murcia;16,4;66
2015;10;CIUDAD REAL;Castilla - La Mancha;Ciudad Real;23,0;60
2015;10;CIUTADELLA-CALA GALDANA;Illes Balears;Illes Balears;21,4;156
2015;10;CIUTADELLA-SON QUIM;Illes Balears;Illes Balears;73,6;528
2015;10;COIN (AUTOMATICA);Andalucía;Málaga;105,2;300
2015;10;COLL DE NARGÓ;Cataluña;Lleida;70,8;612
2015;10;COLMENAR VIEJO/FAMET;Comunidad de Madrid;Madrid;80,5;324
2015;10;COLUNGA;Principado de Asturias;Asturias;130,2;276
2015;10;COLÒNIA SANT PERE-CAN MENGOL;Illes Balears;Illes Balears;22,4;120
2015;10;CORBERA, PUIG DAGULLES;Cataluña;Barcelona;25,4;324
2015;10;CORDOBA, EMBALSE DE GUADANUÑO;Andalucía;Córdoba;107,6;744
2015;10;CORIA;Extremadura;Cáceres;125,0;252
2015;10;CORTES DE LA FRONTERA;Andalucía;Málaga;68,2;180
2015;10;CORUÑA DEL CONDE;Castilla y León;Burgos;37,4;108
2015;10;CUBILLO DE EBRO;Cantabria;Cantabria;71,6;108
2015;10;CUELLAR;Castilla y León;Segovia;27,6;192
2015;10;CUENCA;Castilla - La Mancha;Cuenca;33,4;132
2015;10;CUEVAS DE FELECHOSA;Principado de Asturias;Asturias;105,4;336
2015;10;CÁCERES;Extremadura;Cáceres;127,0;276
2015;10;CÁDIZ, OBSERVATORIO;Andalucía;Cádiz;104,5;534
2015;10;CÁSEDA, DEPÓSITO;Comunidad Foral de Navarra;Navarra;31,4;108
2015;10;CÓRDOBA, PRAGDENA;Andalucía;Córdoba;70,6;360
2015;10;CÓRDOBA/AEROPUERTO;Andalucía;Córdoba;80,7;324
